document_id,project_folder,relative_path,filename,file_type,file_size_bytes,sha256,page_count,text_pdf_or_scan,has_tables,has_photos,has_inspection_data,has_quantities,has_costs,has_condition_scores,possible_mjop_period,document_type,quality_estimate
DOC-001,alkmaarstraat-1-83,alkmaarstraat-1-83/9543_vvem_mop_14-01-2022_Pro VVEBeheer B.V._626720.pdf,9543_vvem_mop_14-01-2022_Pro VVEBeheer B.V._626720.pdf,pdf,1452273,a1a84e3333b20d2c0d75bd87c9af6a5c03b0a6d4c01a8e498a9f9486b13d1925,27,text_pdf,True,True,True,True,True,True,,,
DOC-002,jp-heijestraat,jp-heijestraat/2026_Meerjarenonderhoudsplan_VvE 9690.pdf,2026_Meerjarenonderhoudsplan_VvE 9690.pdf,pdf,730430,cd3b67f3981f0cf336ce4bfc6699af57f5f67f3c04675c66c9ee1b08db1e9221,26,text_pdf,True,True,True,True,True,False,,,
DOC-003,jp-heijestraat,jp-heijestraat/2026_Overzicht 15 - Jarenplan (Gedetailleerd)_VvE 9690.xls,2026_Overzicht 15 - Jarenplan (Gedetailleerd)_VvE 9690.xls,xls,211456,a0e828fc0db7fd487dc49d684f31e8fe3d091e77adff6e89ce386e61cbff4327,,,,,,,,,,,
DOC-004,jp-heijestraat,jp-heijestraat/9690_vvem_mop_v_15-03-2018_Innax_hele_schil_376215.pdf,9690_vvem_mop_v_15-03-2018_Innax_hele_schil_376215.pdf,pdf,1467269,24c5f3192529861a0561fef382a5f225bbff0ba887a416f97397533c173ec269,41,text_pdf,True,True,True,True,True,True,,,
DOC-005,maldenhof,maldenhof/2026_Meerjarenonderhoudsplan_VvE 9261 Maldenhof 240-296.pdf,2026_Meerjarenonderhoudsplan_VvE 9261 Maldenhof 240-296.pdf,pdf,884814,89cd0b06fa4bf00a36a507043f68c012311c8ffd9c01c60786a824913f9a8ae8,15,text_pdf,True,True,True,True,True,True,,,
DOC-006,maldenhof,maldenhof/9261_vvem_mop_01-03-2023_Pro VVE Beheer B.V._851361.pdf,9261_vvem_mop_01-03-2023_Pro VVE Beheer B.V._851361.pdf,pdf,1706495,b593a3a2e62bcf1566e9286cce4d2bf120f67b3e96bb14edc65ab2e7163acb00,20,text_pdf,True,True,True,True,True,True,,,
DOC-007,mauritstaete,mauritstaete/Actualisatie MOP 2023 met bijlage.pdf,Actualisatie MOP 2023 met bijlage.pdf,pdf,448819,6ee443cf5bc80bb6270698e281d1f2ae1be404346dbdcee3dc56af79a1c7fded,26,text_pdf,True,True,True,True,True,True,2019-2023,,
DOC-008,st-jacobstraat,st-jacobstraat/Hoofd.pdf,Hoofd.pdf,pdf,227435,741ba07755797c2fb2d720193deca6c65ff08ed167f4528ea0224d65d2b2004e,15,text_pdf,True,True,True,True,True,True,,,
DOC-009,st-jacobstraat,st-jacobstraat/Woningen.pdf,Woningen.pdf,pdf,418153,e8f13e275704857d9ab9ff2d873068099fb225eb324dd876a38d1a2e4ffd8782,30,text_pdf,True,True,True,True,True,True,,,
DOC-010,zomerdijkstraat-14,zomerdijkstraat-14/Meerjarenonderhoudsplan 2023_VvE Zomerdijkstraat 14.pdf,Meerjarenonderhoudsplan 2023_VvE Zomerdijkstraat 14.pdf,pdf,720517,d102f1f7f0faf8641e9874efab2a3d0516a7add2eb333e6c2f4e60965dc3099a,17,text_pdf,True,True,True,True,True,False,,,
