document_id,project_folder,relative_path,filename,file_type,file_size_bytes,doc_type_hint,date_hint,advisor_hint,page_count,text_pdf_or_scan,has_tables,has_photos,has_inspection_data,has_quantities,has_costs,has_condition_scores,mentions_nen2767,years_found,possible_mjop_period,possible_number_of_units,error
DOC-001,VVe st. jacobstraat,VVe st. jacobstraat/Mop 2025/7135_vvem_nbi_18-10-2024_0270311 Gunningsadvies DLR_820038.pdf,7135_vvem_nbi_18-10-2024_0270311 Gunningsadvies DLR_820038.pdf,pdf,1003453,gunningsadvies,18-10-2024,0270311 Gunningsadvies DLR,7,text_pdf,True,True,False,False,True,False,False,2024,,,
DOC-002,VVe st. jacobstraat,VVe st. jacobstraat/Mop 2025/7135_vvem_of_11-10-2024_0270311 Liftcentraal bv_820039.pdf,7135_vvem_of_11-10-2024_0270311 Liftcentraal bv_820039.pdf,pdf,245599,offerte,11-10-2024,0270311 Liftcentraal bv,5,text_pdf,False,True,False,False,False,False,False,2024,,,
DOC-003,VVe st. jacobstraat,VVe st. jacobstraat/Mop 2025/7135_vvem_of_14-10-2024_0270311 Schindler Liften B.V._820040.pdf,7135_vvem_of_14-10-2024_0270311 Schindler Liften B.V._820040.pdf,pdf,376686,offerte,14-10-2024,0270311 Schindler Liften B.V.,18,text_pdf,True,True,False,True,True,False,False,1991;2022;2023;2024;2025,,,
DOC-004,VVe st. jacobstraat,VVe st. jacobstraat/Mop 2025/7135_vvem_of_25-09-2024_0270311 Astralift_820042.pdf,7135_vvem_of_25-09-2024_0270311 Astralift_820042.pdf,pdf,1054520,offerte,25-09-2024,0270311 Astralift,10,text_pdf,False,True,False,True,False,False,False,2024,,,
DOC-005,VVe st. jacobstraat,VVe st. jacobstraat/Mop 2025/Hoofd.pdf,Hoofd.pdf,pdf,227435,,,,15,text_pdf,True,True,True,True,True,True,True,2018;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049,,,
DOC-006,VVe st. jacobstraat,VVe st. jacobstraat/Mop 2025/Meerjarenonderhoudsplan-7135_vvem_mop_02-03-2023_DLR-Adviesgroep-BV_lift_705159-St.-Jacobsstraat-251-321-UTRECHT-(7135).pdf,Meerjarenonderhoudsplan-7135_vvem_mop_02-03-2023_DLR-Adviesgroep-BV_lift_705159-St.-Jacobsstraat-251-321-UTRECHT-(7135).pdf,pdf,20285,,,,1,text_pdf,True,True,False,False,True,True,True,2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038,2023-2038,,
DOC-007,VVe st. jacobstraat,VVe st. jacobstraat/Mop 2025/Overzicht 15 - jarenplan.pdf,Overzicht 15 - jarenplan.pdf,pdf,124480,,,,11,text_pdf,True,True,False,True,True,False,False,2005;2018;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049,,321,
DOC-008,VVe st. jacobstraat,VVe st. jacobstraat/Mop 2025/VvE-documenten-4766B-7135-St.-Jacobsstraat-251-321-c5193de4-86ae-4ec9-b47c-e800cca21802.pdf,VvE-documenten-4766B-7135-St.-Jacobsstraat-251-321-c5193de4-86ae-4ec9-b47c-e800cca21802.pdf,pdf,6131310,,,,23,text_pdf,True,True,False,False,True,True,True,2002;2013;2016;2018;2019;2020;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038,2023-2038,,
DOC-009,VVe st. jacobstraat,VVe st. jacobstraat/Mop 2025/Winkels.pdf,Winkels.pdf,pdf,182733,,,,10,text_pdf,True,True,True,True,True,True,True,2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039,,,
DOC-010,VVe st. jacobstraat,VVe st. jacobstraat/Mop 2025/Woningen.pdf,Woningen.pdf,pdf,418153,,,,30,text_pdf,True,True,True,True,True,True,True,1993;1994;1998;2003;2005;2012;2018;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049,,321,
DOC-011,J.P. Heijestraat,J.P. Heijestraat/MOP 2026/2026_Meerjarenonderhoudsplan_VvE 9690.pdf,2026_Meerjarenonderhoudsplan_VvE 9690.pdf,pdf,730430,,,,26,text_pdf,True,True,True,True,True,False,False,2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2042;2048,,,
DOC-012,J.P. Heijestraat,J.P. Heijestraat/MOP 2026/2026_Overzicht 15 - Jarenplan (Gedetailleerd)_VvE 9690.xls,2026_Overzicht 15 - Jarenplan (Gedetailleerd)_VvE 9690.xls,xls,211456,,,,,n/a_spreadsheet,True,,,True,True,False,,2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040,,,
